"Path ID","Unique ID","Rule ID","Left","Right"
"14","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"14","TRS_0_2_33_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.CMPD_0000000187","1.CMPD_0000000017"
"14","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"14","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"14","TRS_0_3_98_0","MNXR56599_MNXM9","1.MNXM12:1.MNXM2","1.CMPD_0000000187"
"15","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"15","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"15","TRS_0_1_5_0","MNXR81684_MNXM14,MNXR81781_MNXM3,MNXR93632_MNXM7,MNXR93637_MNXM19","1.CMPD_0000000021:1.MNXM15","1.CMPD_0000000006"
"15","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"15","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"15","TRS_0_2_44_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.CMPD_0000000194","1.CMPD_0000000021"
"15","TRS_0_3_113_0","MNXR12875_MNXM2620,MNXR466_MNXM334,MNXR7025_MNXM4817,MNXR70675_MNXM495,MNXR714_MNXM125,MNXR81551_MNXM334,MNXR81684_MNXM125,MNXR81781_MNXM423,MNXR86319_MNXM3596,MNXR88839_MNXM145884,MNXR891_MNXM423,MNXR91136_MNXM125,MNXR93632_MNXM495,MNXR93637_MNXM4817","1.MNXM12:1.MNXM2","1.CMPD_0000000194"
"15","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"15","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"16","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"16","TRS_0_1_1_0","MNXR1039_MNXM443","1.CMPD_0000000011:1.MNXM21","1.CMPD_0000000006"
"16","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"16","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"16","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"16","TRS_0_2_231_0","MNXR23496_MNXM2779","1.CMPD_0000000179:1.MNXM4","1.CMPD_0000000011"
"16","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"16","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"16","TRS_0_3_743_0","MNXR23495_MNXM577","1.CMPD_0000000169:1.MNXM2","1.CMPD_0000000179"
"17","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"17","TRS_0_1_1_0","MNXR1039_MNXM443","1.CMPD_0000000011:1.MNXM21","1.CMPD_0000000006"
"17","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"17","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"17","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"17","TRS_0_2_231_0","MNXR23496_MNXM2779","1.CMPD_0000000179:1.MNXM4","1.CMPD_0000000011"
"17","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"17","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"17","TRS_0_3_744_0","MNXR26351_MNXM577,MNXR84969_MNXM577","1.MNXM2:1.MNXM828","1.CMPD_0000000179"
"18","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"18","TRS_0_1_1_0","MNXR1039_MNXM443","1.CMPD_0000000011:1.MNXM21","1.CMPD_0000000006"
"18","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"18","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"18","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"18","TRS_0_2_232_0","MNXR5338_MNXM2779","1.CMPD_0000000180:1.MNXM10","1.CMPD_0000000011"
"18","TRS_0_3_305_0","MNXR93744_MNXM279","1.CMPD_0000000026:1.MNXM15","1.CMPD_0000000163"
"18","TRS_0_3_337_0","MNXR14773_MNXM505","1.MNXM10:1.MNXM164:1.MNXM26","1.CMPD_0000000169"
"18","TRS_0_3_349_0","MNXR16006_MNXM204,MNXR93854_MNXM204","1.MNXM01:1.MNXM4:1.MNXM421","1.CMPD_0000000180"
"19","TRS_0_0_2_0","MNXR56822_MNXM3355","1.CMPD_0000000006:1.CMPD_0000000007","1.TARGET_0000000001"
"19","TRS_0_1_13_0","MNXR63359_MNXM2781","1.CMPD_0000000015:1.MNXM01:1.MNXM6","1.CMPD_0000000007"
"19","TRS_0_1_2_0","MNXR92327_MNXM51115","1.CMPD_0000000017","1.CMPD_0000000006"
"19","TRS_0_2_215_0","MNXR8896_MNXM1887,MNXR94641_MNXM1887","1.CMPD_0000000163:1.MNXM4","1.CMPD_0000000015"
"19","TRS_0_2_220_0","MNXR21180_MNXM890","1.CMPD_0000000169:1.MNXM4:1.MNXM6","1.CMPD_0000000026"
"19","TRS_0_2_33_0","MNXR1041_MNXM443","1.CMPD_0000000026:1.CMPD_0000000187","1.CMPD_0000000017"
